Year,Total,Foreign,Domestic
1974,1746788544,764088905,982699639
1975,1695034366,748707407,946326959
1976,1835006819,855963909,979042910
1977,1908223619,935256813,972966806
1978,2021349754,946057889,1075291865
1979,2073757628,993444963,1080312665
1980,1998887402,921404000,1077483402
1981,1941558947,887102150,1054456797
1982,1776740579,819730983,957009596
1983,1707661011,751140194,956520817
1984,1836020619,803338133,1032682486
1985,1788434822,774323283,1014111539
1986,1874416280,837223503,1037192777
1987,1967458261,890980045,1076478216
1988,2087993484,976220985,1111772499
1989,2140442372,1037910213,1102532159
1990,2163854373,1041555740,1122298633
1991,2092108462,1013557036,1078551426
1992,2132095154,1037466130,1094629024
1993,2128221188,1060041217,1068179971
1994,2214754086,1115742828,1099011258
1995,2240393059,1147357782,1093035277
1996,2284065249,1183386621,1100678628
1997,2333142046,1220615132,1112526914
1998,2339500081,1245388049,1094112032
1999,2322557251,1260770656,1061786595
2000,2424588877,1354790984,1069804693
2001,2393298249,1350826076,1042472173
2002,2340291913,1319290931,1021000982
2003,2394251814,1378115758,1016136056
2004,2551939029,1504851381,1047087648
2005,2527622229,1498711806,1028910423
2006,2588440451,1564944286,1023496165
2007,2563971539,1542452190,1021519349
2008,2477094228,1520758974,956335255
2009,2210751710,1353667060,857084650
2010,2334398600,1440937396,893461204
2011,2367483603,1479553348,887930255
2012,2306810362,1421894930,884915432
2013,2274777616,1383625910,891151706
